day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
22,9,2012,37.2,67.7,22.4,0.4,79.9,32.9,158.1,11.6,43.1,27.0,fire,Sidi-Bel Abbes
23,6,2012,39.5,66.2,18.3,0.0,87.2,38.8,157.6,10.0,47.2,25.6,fire,Sidi-Bel Abbes
24,7,2012,38.0,78.6,22.8,0.2,83.3,36.8,177.6,15.2,50.9,33.0,fire,Sidi-Bel Abbes
25,8,2012,27.6,66.8,9.5,0.0,87.0,23.9,92.7,8.1,29.3,14.3,not fire,Sidi-Bel Abbes
26,9,2012,32.2,53.7,13.6,0.6,81.5,23.2,125.8,10.6,29.6,21.1,not fire,Sidi-Bel Abbes
27,6,2012,37.6,54.3,5.2,0.0,85.8,36.1,148.6,8.9,43.1,20.8,not fire,Sidi-Bel Abbes
28,7,2012,28.8,63.8,12.8,0.2,86.3,18.2,94.6,9.7,25.7,16.5,not fire,Sidi-Bel Abbes
29,8,2012,20.1,47.0,10.5,0.5,82.5,1.3,57.1,12.7,7.8,10.5,not fire,Sidi-Bel Abbes
30,9,2012,35.1,20.1,5.7,0.0,96.0,29.8,141.3,13.1,43.3,31.1,fire,Sidi-Bel Abbes
1,6,2012,31.9,82.3,7.4,0.1,81.8,26.0,118.9,9.1,31.4,18.2,not fire,Sidi-Bel Abbes
2,7,2012,37.0,53.1,15.4,1.0,79.3,33.4,153.4,14.9,42.3,33.0,fire,Sidi-Bel Abbes
